,date,venue,innings,target,team,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,d1,r1,w1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,1.10,1.11,1.12,d2,r2,w2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.10,2.11,2.12,d3,r3,w3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,3.11,3.12,d4,r4,w4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,d5,r5,w5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10,5.11,5.12,d6,r6,w6
55,2016-05-07,"Punjab Cricket Association IS Bindra Stadium, Mohali",2,172,Delhi Daredevils,0,0,1,0,1,1,,,,,,,6,3,0,1,0,0,4,2,0,,,,,,,6,7,0,0,1,0,1,4,0,,,,,,,6,6,0,1,0,4,1,1,0,,,,,,,6,7,0,1,4,4,1,1,1,,,,,,,6,12,0,2,2,6,4,1,1,,,,,,,6,16,0
56,2017-05-11,Wankhede Stadium,1,,Kings XI Punjab,4,0,4,1,0,4,,,,,,,6,13,0,1,4,1,1,4,5,0,,,,,,7,16,0,1,0,1,1,0,0,,,,,,,6,3,0,2,7,1,1,4,4,0,0,,,,,8,19,0,4,0,1,2,1,1,,,,,,,6,9,0,4,4,0,1,1,1,,,,,,,6,11,0
57,2017-05-11,Wankhede Stadium,2,223,Mumbai Indians,4,1,0,2,1,0,2,,,,,,7,10,0,1,0,4,4,4,0,,,,,,,6,13,0,0,0,2,0,4,0,,,,,,,6,6,0,1,0,1,2,0,0,4,,,,,,7,8,0,1,4,1,4,1,4,,,,,,,6,15,0,1,6,2,6,0,1,,,,,,,6,16,0
58,2019-03-30,Punjab Cricket Association IS Bindra Stadium,1,,Mumbai Indians,1,0,1,0,1,4,,,,,,,6,7,0,2,4,1,1,4,1,,,,,,,6,13,0,0,1,4,1,1,1,,,,,,,6,8,0,2,1,1,0,1,2,,,,,,,6,7,0,1,4,1,1,4,4,,,,,,,6,15,0,1,0,0,4,4,3,,,,,,,6,12,0
59,2019-03-30,Punjab Cricket Association IS Bindra Stadium,2,177,Kings XI Punjab,1,0,0,0,0,4,,,,,,,6,5,0,1,1,0,0,1,0,,,,,,,6,3,0,1,6,6,1,0,1,,,,,,,6,15,0,0,0,0,0,4,0,,,,,,,6,4,0,0,0,4,0,4,1,,,,,,,6,9,0,0,0,0,1,0,1,,,,,,,6,2,0
60,2011-05-07,Wankhede Stadium,1,,Mumbai Indians,0,0,0,1,4,4,1,,,,,,7,10,0,0,0,0,1,0,4,,,,,,,6,5,0,4,0,4,4,4,4,,,,,,,6,20,0,4,0,0,1,0,0,1,,,,,,7,6,0,0,0,4,1,4,0,,,,,,,6,9,0,0,0,0,0,0,0,,,,,,,6,0,0
61,2011-05-07,Wankhede Stadium,2,146,Delhi Daredevils,0,1,1,1,0,1,,,,,,,6,4,0,0,0,0,0,0,0,,,,,,,6,0,0,0,1,0,1,1,0,0,,,,,,7,3,0,3,0,1,0,1,0,,,,,,,6,5,0,1,0,0,0,0,0,,,,,,,6,1,0,0,0,1,4,4,1,,,,,,,6,10,0
62,2019-05-04,Arun Jaitley Stadium,1,,Rajasthan Royals,1,1,1,0,0,1,,,,,,,6,4,0,0,0,6,1,0,0,,,,,,,6,7,0,1,0,1,1,0,0,1,,,,,,7,4,0,0,1,4,0,0,4,,,,,,,6,9,0,2,0,0,0,0,0,,,,,,,6,2,0,4,0,0,0,0,0,,,,,,,6,4,0
63,2019-05-04,Arun Jaitley Stadium,2,121,Delhi Capitals,1,1,1,1,1,1,,,,,,,6,6,0,1,1,4,2,1,0,,,,,,,6,9,0,4,0,4,1,0,4,,,,,,,6,13,0,0,0,0,0,0,0,,,,,,,6,0,0,1,0,0,0,0,0,,,,,,,6,1,0,0,6,6,0,1,4,,,,,,,6,17,0
64,2009-04-24,Kingsmead,1,,Royal Challengers Bangalore,0,0,4,0,0,2,,,,,,,6,6,0,0,0,0,6,2,0,,,,,,,6,8,0,4,2,0,4,4,4,,,,,,,6,18,0,4,1,0,0,1,1,0,,,,,,7,7,0,0,4,0,0,3,1,,,,,,,6,8,0,1,0,0,0,1,0,,,,,,,6,2,0
65,2009-04-24,Kingsmead,2,173,Kings XI Punjab,1,0,0,1,1,0,1,,,,,,7,4,0,0,1,1,0,4,2,1,1,,,,,8,10,0,1,1,1,1,0,1,,,,,,,6,5,0,2,1,1,1,4,1,,,,,,,6,10,0,5,1,1,1,0,1,1,,,,,,7,10,0,1,1,1,1,1,0,,,,,,,6,5,0
